iter	RMSE
0	3.774070733
1	3.651248126
2	3.526532453
3	3.422792252
4	3.334961118
5	3.249973833
6	3.181044428
7	3.117132921
8	3.059843185
9	3.014445049
10	2.968411363
11	2.926000209
12	2.887849664
13	2.855657259
14	2.823375363
15	2.798885627
16	2.77211876
17	2.74372759
18	2.722798296
19	2.702950845
20	2.681751114
21	2.661407146
22	2.644493018
23	2.627004639
24	2.610760615
25	2.596767833
26	2.583471585
27	2.569768021
28	2.55572531
29	2.544448939
30	2.531792793
31	2.519914273
32	2.506801785
33	2.495235281
34	2.483848833
35	2.474843588
36	2.464487106
37	2.454681028
38	2.445804651
39	2.435917915
40	2.427592542
41	2.419337896
42	2.409875227
43	2.401694892
44	2.392872619
45	2.385840671
46	2.3774597
47	2.370375025
48	2.363785385
49	2.356809757
50	2.349452744
51	2.342612114
52	2.336436368
53	2.329999023
54	2.325029397
55	2.318036411
56	2.311811462
57	2.305872009
58	2.300104602
59	2.293934395
60	2.287896633
61	2.282934733
62	2.278094443
63	2.272836428
64	2.267943265
65	2.262736051
66	2.257993019
67	2.25410492
68	2.249076971
69	2.24462622
70	2.239930862
71	2.235678203
72	2.231719041
73	2.22795332
74	2.22406723
75	2.220176602
76	2.215956752
77	2.212067543
78	2.208176438
79	2.204599487
80	2.200947449
81	2.197558581
82	2.194334494
83	2.190824349
84	2.187633225
85	2.184298515
86	2.180974003
87	2.177745923
88	2.174618896
89	2.1703261
90	2.16720324
91	2.163873925
92	2.161182839
93	2.158277391
94	2.155388168
95	2.152770959
96	2.149941584
97	2.149134212
98	2.146031375
99	2.143337711
100	2.142539607
101	2.141783344
102	2.139068892
103	2.138321485
104	2.13760955
105	2.136905126
106	2.134735402
107	2.131674539
108	2.131029448
109	2.128836795
110	2.126397716
111	2.123842208
112	2.123225913
113	2.121171177
114	2.120609593
115	2.118774565
116	2.116366517
117	2.115808936
118	2.114065782
119	2.110625085
120	2.110102826
121	2.107756681
122	2.107250928
123	2.104671365
124	2.102585182
125	2.100767957
126	2.098732365
127	2.096272141
128	2.0944011
129	2.093927283
130	2.093469279
131	2.091368689
132	2.090925817
133	2.089347366
134	2.088933006
135	2.087414093
136	2.087013847
137	2.085162303
138	2.08338605
139	2.081862522
140	2.079896795
141	2.07950774
142	2.079132418
143	2.077166009
144	2.075249909
145	2.074886005
146	2.072505952
147	2.070866233
148	2.069008536
149	2.067360765
150	2.067018925
151	2.065205458
152	2.064874531
153	2.064554633
154	2.06424539
155	2.062802182
156	2.061666896
157	2.061368255
158	2.059367698
159	2.05907757
160	2.057618941
161	2.057338638
162	2.055880611
163	2.055609205
164	2.053593881
165	2.052242798
166	2.050236135
167	2.048899896
168	2.048647468
169	2.047802243
170	2.04637744
171	2.046141936
172	2.045047089
173	2.044819225
174	2.043566541
175	2.041955161
176	2.040380315
177	2.039112839
178	2.038050092
179	2.037836326
180	2.037629651
181	2.036506955
182	2.035216394
183	2.033818902
184	2.032626376
185	2.032426758
186	2.03223376
187	2.031039213
188	2.029475168
189	2.029287703
190	2.029106457
191	2.02796928
192	2.026766426
193	2.025256226
194	2.025080801
195	2.024911199
196	2.023154441
197	2.022008643
198	2.020420409
199	2.019103518
200	2.018937547
201	2.017619465
202	2.017464565
203	2.016379994
204	2.015695355
205	2.014566554
206	2.014414848
207	2.014267762
208	2.013321122
209	2.01238155
210	2.012239945
211	2.011384655
212	2.010712313
213	2.010086259
214	2.00995377
215	2.009099414
216	2.008971542
217	2.007959347
218	2.006695273
219	2.006571678
220	2.005534185
221	2.005414777
222	2.004398159
223	2.004282499
224	2.003690008
225	2.002666554
226	2.001617285
227	2.000709672
228	1.999584501
229	1.999083657
230	1.998617522
231	1.997996419
232	1.997888187
233	1.997078984
234	1.996974318
235	1.996118516
236	1.996017541
237	1.995919905
238	1.995825043
239	1.995144432
240	1.994127069
241	1.994066558
242	1.992996631
243	1.992910133
244	1.992126478
245	1.992042955
246	1.991072966
247	1.990637942
248	1.989847026
249	1.989465531
250	1.989387464
251	1.989037387
252	1.988190996
253	1.98722831
254	1.986340553
255	1.986267704
256	1.985651635
257	1.984814096
258	1.98443522
259	1.984120411
260	1.984054371
261	1.984010556
262	1.983149682
263	1.982059434
264	1.981746242
265	1.981685425
266	1.981599478
267	1.980953764
268	1.980676423
269	1.979912229
270	1.979666749
271	1.979391141
272	1.979136019
273	1.978608718
274	1.977738991
275	1.976937121
276	1.976102783
277	1.975537593
278	1.974809014
279	1.974774667
280	1.974241891
281	1.973550339
282	1.972783039
283	1.972528771
284	1.972168164
285	1.971844647
286	1.971416323
287	1.971105651
288	1.970859711
289	1.970022171
290	1.969420962
291	1.968579429
292	1.967576924
293	1.966760405
294	1.966235146
295	1.96580526
296	1.965147885
297	1.964703963
298	1.964212959
299	1.963548533
