iter	Passed	Remaining
0	143	143375
1	148	73943
2	152	50621
3	155	38810
4	158	31587
5	161	26745
6	164	23306
7	168	20919
8	172	19015
9	175	17327
10	177	15933
11	180	14843
12	182	13852
13	184	13008
14	186	12258
15	188	11618
16	191	11049
17	193	10552
18	195	10104
19	198	9714
20	200	9340
21	202	9006
22	204	8699
23	206	8410
24	209	8151
25	211	7908
26	213	7691
27	215	7482
28	217	7287
29	219	7102
30	221	6935
31	223	6772
32	226	6623
33	228	6491
34	230	6361
35	232	6236
36	235	6116
37	237	6008
38	239	5904
39	241	5799
40	243	5706
41	246	5612
42	248	5521
43	250	5435
44	252	5356
45	254	5277
46	256	5206
47	258	5134
48	261	5066
49	263	5000
50	265	4937
51	267	4876
52	269	4819
53	271	4764
54	274	4708
55	276	4654
56	278	4602
57	280	4552
58	282	4504
59	284	4459
60	286	4411
61	290	4391
62	292	4350
63	294	4308
64	296	4270
65	299	4235
66	301	4200
67	303	4162
68	305	4127
69	308	4092
70	310	4058
71	312	4025
72	314	3999
73	318	3979
74	320	3949
75	322	3919
76	324	3889
77	326	3861
78	328	3833
79	331	3807
80	333	3781
81	335	3755
82	337	3729
83	339	3707
84	342	3682
85	344	3659
86	346	3635
87	348	3613
88	350	3589
89	352	3567
90	355	3546
91	357	3525
92	359	3508
93	362	3490
94	364	3471
95	366	3453
96	369	3436
97	371	3417
98	373	3399
99	375	3383
100	378	3368
101	380	3352
102	383	3335
103	385	3320
104	387	3306
105	390	3289
106	392	3274
107	394	3261
108	397	3246
109	399	3232
110	401	3218
111	404	3204
112	407	3196
113	409	3182
114	411	3168
115	414	3155
116	416	3141
117	418	3129
118	421	3117
119	423	3105
120	425	3093
121	428	3081
122	430	3070
123	432	3057
124	435	3045
125	437	3034
126	439	3022
127	442	3012
128	444	3003
129	447	2993
130	449	2984
131	452	2973
132	455	2967
133	457	2958
134	460	2949
135	462	2939
136	465	2930
137	467	2920
138	470	2911
139	472	2903
140	475	2895
141	477	2885
142	479	2876
143	482	2868
144	484	2859
145	487	2850
146	489	2841
147	492	2833
148	494	2825
149	497	2817
150	499	2808
151	501	2800
152	504	2793
153	506	2785
154	509	2776
155	511	2768
156	514	2760
157	516	2752
158	518	2744
159	521	2736
160	523	2728
161	525	2716
162	527	2707
163	530	2703
164	532	2696
165	535	2690
166	537	2682
167	540	2675
168	542	2668
169	544	2660
170	547	2654
171	549	2646
172	552	2638
173	554	2632
174	556	2625
175	559	2618
176	561	2611
177	563	2604
178	566	2596
179	568	2590
180	571	2583
181	573	2577
182	575	2569
183	577	2562
184	580	2556
185	582	2550
186	584	2543
187	587	2536
188	589	2527
189	591	2521
190	594	2518
191	596	2511
192	599	2506
193	601	2499
194	604	2493
195	606	2488
196	609	2482
197	611	2476
198	613	2470
199	616	2464
200	618	2458
201	620	2453
202	623	2448
203	626	2442
204	628	2436
205	629	2428
206	632	2421
207	634	2415
208	636	2409
209	638	2403
210	641	2397
211	643	2391
212	645	2386
213	648	2381
214	650	2376
215	653	2372
216	656	2368
217	658	2362
218	661	2358
219	663	2352
220	666	2347
221	667	2340
222	669	2333
223	672	2328
224	674	2322
225	676	2318
226	679	2313
227	681	2308
228	684	2304
229	686	2299
230	689	2293
231	691	2289
232	693	2284
233	696	2279
234	698	2274
235	701	2270
236	703	2265
237	705	2260
238	708	2254
239	710	2250
240	712	2245
241	715	2242
242	718	2236
243	720	2232
244	722	2226
245	725	2222
246	727	2218
247	730	2215
248	734	2213
249	736	2209
250	738	2205
251	741	2200
252	743	2195
253	746	2191
254	748	2186
255	751	2182
256	753	2177
257	755	2173
258	758	2168
259	760	2164
260	762	2157
261	764	2152
262	766	2148
263	769	2144
264	771	2139
265	773	2134
266	775	2130
267	778	2125
268	780	2120
269	783	2117
270	785	2112
271	787	2108
272	790	2104
273	792	2100
274	795	2096
275	796	2089
276	798	2085
277	801	2081
278	803	2076
279	805	2072
280	808	2068
281	810	2064
282	813	2061
283	816	2057
284	818	2052
285	820	2048
286	823	2045
287	825	2041
288	828	2037
289	830	2033
290	833	2030
291	835	2025
292	837	2021
293	840	2017
294	842	2013
295	844	2008
296	847	2005
297	849	2001
298	851	1997
299	854	1994
300	856	1990
301	859	1986
302	861	1982
303	864	1978
304	866	1975
305	869	1972
306	872	1969
307	875	1966
308	877	1962
309	880	1958
310	882	1955
311	885	1951
312	887	1947
313	889	1944
314	892	1940
315	894	1936
316	896	1931
317	898	1927
318	901	1923
319	903	1920
320	906	1917
321	908	1913
322	910	1908
323	912	1903
324	915	1900
325	917	1896
326	919	1892
327	922	1889
328	924	1885
329	927	1882
330	929	1878
331	931	1874
332	933	1870
333	936	1866
334	938	1862
335	940	1858
336	942	1855
337	945	1851
338	946	1846
339	949	1842
340	951	1838
341	953	1835
342	956	1831
343	958	1828
344	961	1824
345	963	1821
346	965	1817
347	968	1813
348	970	1810
349	972	1806
350	975	1803
351	977	1800
352	980	1796
353	982	1793
354	985	1789
355	987	1786
356	989	1782
357	992	1779
358	994	1776
359	997	1772
360	999	1768
361	1001	1765
362	1004	1761
363	1006	1758
364	1009	1755
365	1011	1752
366	1014	1749
367	1016	1745
368	1018	1741
369	1021	1738
370	1024	1737
371	1027	1733
372	1029	1730
373	1031	1727
374	1034	1723
375	1036	1720
376	1038	1716
377	1041	1713
378	1043	1710
379	1046	1707
380	1048	1704
381	1051	1700
382	1053	1697
383	1056	1694
384	1058	1690
385	1060	1687
386	1063	1684
387	1065	1680
388	1068	1677
389	1070	1674
390	1073	1671
391	1075	1667
392	1077	1664
393	1080	1661
394	1082	1658
395	1085	1655
396	1087	1651
397	1089	1648
398	1092	1645
399	1094	1642
400	1097	1638
401	1099	1635
402	1102	1632
403	1104	1629
404	1106	1626
405	1109	1622
406	1111	1619
407	1113	1615
408	1116	1612
409	1118	1609
410	1120	1605
411	1122	1602
412	1125	1599
413	1128	1597
414	1131	1594
415	1133	1591
416	1135	1587
417	1138	1584
418	1140	1581
419	1142	1578
420	1145	1575
421	1148	1573
422	1150	1569
423	1153	1566
424	1155	1563
425	1157	1560
426	1160	1556
427	1162	1553
428	1164	1550
429	1167	1547
430	1169	1544
431	1172	1541
432	1174	1537
433	1176	1534
434	1179	1531
435	1181	1528
436	1184	1525
437	1186	1522
438	1189	1519
439	1191	1516
440	1194	1513
441	1196	1510
442	1198	1507
443	1201	1504
444	1203	1501
445	1206	1498
446	1208	1495
447	1210	1492
